Site_ID,Asset_Type,Related_ID,File,Caption,Display_Order,External_URL,Embed_HTML,Notes
C1,3d_model,C1,,3D Model,1,https://sketchfab.com/3d-models/prasat-tao-c1-9b57d3931e444753abaddc443be9b5b3,,
C9-1,current_photo,C9-1,detail_assets/photos/C9-1_photo_01.jpg,,1,,,
C9-2,current_photo,C9-2,detail_assets/photos/C9-2_photo_01.jpg,,1,,,
C9-3,current_photo,C9-3,detail_assets/photos/C9-3_photo_01.jpg,,1,,,
C10,current_photo,C10,detail_assets/photos/C10_photo_01.jpg,,1,,,
C11,current_photo,C11,detail_assets/photos/C11_photo_01.jpg,,1,,,
C12,current_photo,C12,detail_assets/photos/C12_photo_01.jpg,,1,,,
C12,current_photo,C12,detail_assets/photos/C12_photo_02.jpg,,2,,,
C12,current_photo,C12,detail_assets/photos/C12_photo_03.jpg,,3,,,
C12,current_photo,C12,detail_assets/photos/C12_photo_04.jpg,,4,,,
C12,current_photo,C12,detail_assets/photos/C12_photo_05.jpg,,5,,,
C13,current_photo,C13,detail_assets/photos/C13_photo_01.jpg,,1,,,
C13,current_photo,C13,detail_assets/photos/C13_photo_02.jpg,,2,,,
C13,current_photo,C13,detail_assets/photos/C13_photo_03.jpg,,3,,,
C13,current_photo,C13,detail_assets/photos/C13_photo_04.jpg,,4,,,
C14-1,current_photo,C14-1,detail_assets/photos/C14-1_photo_01.jpg,,1,,,
C14-2,current_photo,C14-2,detail_assets/photos/C14-2_photo_01.jpg,,1,,,
C15-1,current_photo,C15-1,detail_assets/photos/C15-1_photo_01.jpg,,1,,,
C15-2,current_photo,C15-2,detail_assets/photos/C15-2_photo_01.jpg,,1,,,
C16,current_photo,C16,detail_assets/photos/C16_photo_01.jpg,,1,,,
C16,current_photo,C16,detail_assets/photos/C16_photo_02.jpg,,2,,,
C17-1,current_photo,C17-1,detail_assets/photos/C17-1_photo_01.jpg,,1,,,
C17-1,current_photo,C17-1,detail_assets/photos/C17-1_photo_02.jpg,,2,,,
C17-2,current_photo,C17-2,detail_assets/photos/C17-2_photo_01.jpg,,1,,,
C17-2,current_photo,C17-2,detail_assets/photos/C17-2_photo_02.jpg,,2,,,
C18-1,current_photo,C18-1,detail_assets/photos/C18-1_photo_01.jpg,,1,,,
C18-2,current_photo,C18-2,detail_assets/photos/C18-2_photo_01.jpg,,1,,,
C18-3,current_photo,C18-3,detail_assets/photos/C18-3_photo_01.jpg,,1,,,
C18-3,current_photo,C18-3,detail_assets/photos/C18-3_photo_02.jpg,,2,,,
C18-4,current_photo,C18-4,detail_assets/photos/C18-4_photo_01.jpg,,1,,,
C18-4,current_photo,C18-4,detail_assets/photos/C18-4_photo_02.jpg,,2,,,
C18-5,current_photo,C18-5,detail_assets/photos/C18-5_photo_01.jpg,,1,,,
C18-5,current_photo,C18-5,detail_assets/photos/C18-5_photo_02.jpg,,2,,,
C18-6,current_photo,C18-6,detail_assets/photos/C18-6_photo_01.jpg,,1,,,
C18-6,current_photo,C18-6,detail_assets/photos/C18-6_photo_02.jpg,,2,,,
